iter	Passed	Remaining
680	766	359
681	767	357
682	768	356
683	769	355
684	771	354
685	772	353
686	774	352
687	775	351
688	776	350
689	777	349
690	779	348
691	780	347
692	781	346
693	782	345
694	783	343
695	784	342
696	785	341
697	786	340
698	787	339
699	788	338
700	789	336
701	791	335
702	792	334
703	793	333
704	794	332
705	795	331
706	796	330
707	797	328
708	798	327
709	799	326
710	801	325
711	802	324
712	803	323
713	805	322
714	806	321
715	807	320
716	808	318
717	809	317
718	810	316
719	811	315
720	812	314
721	813	313
722	814	312
723	816	311
724	817	309
725	818	308
726	819	307
727	820	306
728	821	305
729	822	304
730	823	303
731	824	301
732	825	300
733	826	299
734	827	298
735	828	297
736	829	296
737	830	295
738	832	293
739	833	292
740	834	291
741	835	290
742	836	289
743	837	288
744	838	287
745	839	285
746	841	285
747	843	284
748	844	282
749	845	281
750	846	280
751	847	279
752	848	278
753	849	277
754	850	276
755	851	274
756	852	273
757	853	272
758	854	271
759	855	270
760	856	269
761	857	267
762	860	267
763	861	265
764	862	264
765	863	263
766	865	262
767	866	261
768	867	260
769	869	259
770	870	258
771	871	257
772	872	256
773	873	255
774	874	253
775	875	252
776	876	251
777	877	250
778	878	249
779	879	248
780	880	246
781	881	245
782	882	244
783	883	243
784	884	242
785	885	241
786	887	240
787	888	238
788	889	237
789	890	236
790	891	235
791	892	234
792	893	233
793	894	231
794	895	230
795	896	229
796	897	228
797	898	227
798	899	226
799	900	225
800	901	224
801	902	222
802	903	221
803	904	220
804	906	219
805	907	218
806	908	217
807	909	216
808	910	214
809	911	213
810	912	212
811	913	211
812	915	210
813	916	209
814	916	208
815	918	207
816	919	205
817	920	204
818	921	203
819	922	202
820	923	201
821	924	200
822	925	198
823	926	197
824	927	196
825	928	195
826	929	194
827	930	193
828	931	192
829	932	191
830	933	189
831	934	188
832	935	187
833	936	186
834	938	185
835	939	184
836	940	183
837	941	181
838	942	180
839	943	179
840	944	178
841	945	177
842	946	176
843	947	175
844	948	173
845	949	172
846	950	171
847	951	170
848	952	169
849	953	168
850	954	167
851	955	165
852	956	164
853	957	163
854	958	162
855	959	161
856	960	160
857	962	159
858	963	158
859	964	157
860	965	155
861	966	154
862	967	153
863	968	152
864	969	151
865	971	150
866	972	149
867	973	147
868	974	146
869	975	145
870	976	144
871	977	143
872	978	142
873	979	141
874	980	140
875	981	138
876	982	137
877	983	136
878	985	135
879	986	134
880	987	133
881	988	132
882	989	131
883	990	129
884	991	128
885	992	127
886	993	126
887	994	125
888	995	124
889	996	123
890	997	122
891	998	120
892	999	119
893	1000	118
894	1001	117
895	1002	116
896	1003	115
897	1004	114
898	1005	112
899	1006	111
900	1007	110
901	1008	109
902	1009	108
903	1010	107
904	1011	106
905	1013	105
906	1014	103
907	1014	102
908	1015	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1022	94
915	1023	93
916	1024	92
917	1025	91
918	1026	90
919	1027	89
920	1028	88
921	1029	87
922	1030	85
923	1031	84
924	1033	83
925	1034	82
926	1035	81
927	1036	80
928	1037	79
929	1038	78
930	1039	77
931	1040	75
932	1041	74
933	1042	73
934	1043	72
935	1044	71
936	1045	70
937	1046	69
938	1047	68
939	1049	66
940	1050	65
941	1051	64
942	1052	63
943	1053	62
944	1054	61
945	1055	60
946	1057	59
947	1058	58
948	1059	56
949	1060	55
950	1060	54
951	1061	53
952	1063	52
953	1064	51
954	1065	50
955	1066	49
956	1067	47
957	1068	46
958	1070	45
959	1071	44
960	1072	43
961	1073	42
962	1074	41
963	1075	40
964	1076	39
965	1077	37
966	1078	36
967	1079	35
968	1080	34
969	1082	33
970	1083	32
971	1084	31
972	1085	30
973	1086	28
974	1087	27
975	1088	26
976	1089	25
977	1090	24
978	1092	23
979	1093	22
980	1094	21
981	1095	20
982	1096	18
983	1097	17
984	1098	16
985	1100	15
986	1101	14
987	1102	13
988	1103	12
989	1104	11
990	1105	10
991	1106	8
992	1107	7
993	1108	6
994	1109	5
995	1110	4
996	1111	3
997	1113	2
998	1114	1
999	1115	0
